dataset,chunking,routing,experiment,task,retriever,embedder,k,precision,recall,f1,dcg,ndcg,qa_similarity,bertscore_f1,num_queries,num_evaluable_queries,queries_path,qrels_path,evidence_path,answers_path,generation_model,index_path,index_metadata_path,status,details
beir/fiqa,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,1,0.13,0.05337301587301587,0.0715,0.13,0.13,,,100,,data/normalized/beir/fiqa/queries.json,data/normalized/beir/fiqa/qrels/dev.json,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,,
beir/fiqa,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,3,0.11666666666666668,0.13934126984126982,0.11643650793650794,0.25833016550000404,0.14865607620336585,,,100,,data/normalized/beir/fiqa/queries.json,data/normalized/beir/fiqa/qrels/dev.json,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,,
beir/fiqa,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,5,0.07600000000000004,0.15467460317460316,0.09391341991341992,0.27081222473381733,0.14499905596892015,,,100,,data/normalized/beir/fiqa/queries.json,data/normalized/beir/fiqa/qrels/dev.json,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,,
beir/fiqa,fixed,no-routing,baseline_pipeline,document_retrieval,numpy,mpnet,10,0.05299999999999999,0.21728571428571428,0.07976664383088532,0.3214943483402358,0.16826008995382188,,,100,,data/normalized/beir/fiqa/queries.json,data/normalized/beir/fiqa/qrels/dev.json,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,,
beir/fiqa,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,1,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/fiqa,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,3,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/fiqa,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,5,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/fiqa,fixed,no-routing,baseline_pipeline,evidence_retrieval,numpy,mpnet,10,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing evidence_path
beir/fiqa,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,1,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/fiqa,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,3,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/fiqa,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,5,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing answers_path
beir/fiqa,fixed,no-routing,baseline_pipeline,answer_generation,numpy,mpnet,10,,,,,,,,,,,,,,,data/indexes/beir/fiqa/fixed/base/vectors.npy,data/indexes/beir/fiqa/fixed/base/metadata.pkl,skipped,task not supported for current config: missing answers_path
